,Регион,Год,Число больничных коек,Мощность амбулаторно-поликлинических организаций,Численность врачей всех специальностей,Численность среднего медицинского персонала,Заболеваемость на 1000 человек населения,Среднедушевые денежные доходы населения,Смертность населения в трудоспособном возрасте,Число предприятий и организаций,Выбросы загрязняющих веществ в атмосферный воздух,Улавливание загрязняющих атмосферу веществ,Сброс загрязненных сточных вод в поверхностные водные объекты,Средняя продолжительность жизни
0,Белгородская область,2005,111.5,224.2,39.6,117.8,780.0,5276.0,618.6,21857.0,102.0,911.0,11.0,68.43
1,Белгородская область,2010,81.4,232.4,40.4,116.1,756.7,16993.0,502.9,21857.0,132.0,764.0,77.0,71.31
2,Белгородская область,2015,77.1,241.7,41.3,113.4,707.4,28043.0,465.9,21857.0,118.0,639.0,61.0,72.61
3,Белгородская область,2019,70.4,270.2,40.5,106.1,694.5,32398.0,415.8,21857.0,157.0,853.0,69.0,74.21
4,Белгородская область,2020,69.5,271.8,40.4,105.0,714.0,32884.0,499.7,21857.0,168.0,1075.0,66.0,72.37
5,Белгородская область,2021,70.9,282.9,41.9,105.5,796.4,35612.0,556.3,21857.0,156.0,874.0,61.0,70.67
6,Брянская область,2005,127.4,224.5,36.4,113.7,756.4,4788.0,1021.3,21857.0,49.0,737.0,89.0,63.4
7,Брянская область,2010,92.2,243.1,36.2,113.8,820.2,13358.0,720.2,21857.0,35.0,560.0,78.0,67.92
8,Брянская область,2015,76.8,279.9,38.0,118.1,782.1,23428.0,634.4,21857.0,37.0,435.0,58.0,70.36
9,Брянская область,2019,74.9,293.9,40.2,112.9,760.4,28422.0,567.3,21857.0,46.0,104.0,51.0,72.31
10,Брянская область,2020,75.5,300.6,40.5,112.9,767.8,28636.0,658.6,21857.0,47.0,102.0,50.0,70.63
11,Брянская область,2021,73.7,300.2,39.1,110.9,891.7,31608.0,747.6,21857.0,44.0,146.0,51.0,68.67
12,Владимирская область,2005,104.2,299.8,33.7,101.8,877.6,4107.0,1040.3,21857.0,29.0,9.0,155.0,63.51
13,Владимирская область,2010,77.3,314.9,33.1,94.6,926.8,12956.0,800.8,21857.0,35.0,14.0,129.0,67.12
14,Владимирская область,2015,86.0,341.4,33.8,99.0,937.7,22712.0,654.0,21857.0,30.0,6.0,109.0,69.82
15,Владимирская область,2019,82.9,355.6,35.1,93.0,895.2,25391.0,562.3,21857.0,54.0,10.0,94.0,71.87
16,Владимирская область,2020,84.4,361.6,36.5,92.3,932.9,25955.0,679.1,21857.0,60.0,12.0,95.0,70.03
17,Владимирская область,2021,87.3,376.4,37.5,93.9,1093.9,28489.0,758.7,21857.0,62.0,12.0,94.0,68.11
18,Воронежская область,2005,107.1,208.5,53.1,117.6,525.4,5398.0,787.5,21857.0,52.0,42.0,169.0,66.5
19,Воронежская область,2010,91.1,241.3,52.6,115.6,549.9,13883.0,617.0,21857.0,77.0,51.0,134.0,69.45
20,Воронежская область,2015,85.7,241.4,51.7,114.1,545.6,29366.0,561.5,21857.0,69.0,89.0,117.0,71.67
21,Воронежская область,2019,78.8,255.6,52.9,109.1,524.5,32022.0,474.5,21857.0,105.0,115.0,119.0,73.63
22,Воронежская область,2020,79.1,255.7,52.3,107.2,531.9,32102.0,558.1,21857.0,116.0,137.0,118.0,71.91
23,Воронежская область,2021,78.5,264.1,53.6,106.9,622.5,35100.0,657.4,21857.0,111.0,137.0,117.0,69.49
24,Ивановская область,2005,125.7,207.7,51.0,135.5,824.5,3480.0,1168.1,29121.0,40.0,30.0,144.0,62.17
25,Ивановская область,2010,104.0,276.0,51.9,103.8,897.5,11124.0,787.3,32341.0,37.0,26.0,102.0,67.09
26,Ивановская область,2015,88.9,240.4,43.8,103.5,877.5,22297.0,614.0,35612.0,33.0,17.0,70.0,70.62
27,Ивановская область,2019,81.2,253.1,44.1,100.8,931.1,25794.0,562.6,27603.0,17.0,8.0,61.0,71.84
28,Ивановская область,2020,82.2,256.7,45.4,98.7,835.5,26284.0,632.5,25839.0,25.0,6.0,62.0,70.66
29,Ивановская область,2021,83.1,258.9,44.5,96.3,967.1,28680.0,706.4,24866.0,25.0,7.0,59.0,69.02
30,Калужская область,2005,115.2,253.2,38.8,102.8,777.4,5343.0,956.6,27880.0,12.0,106.0,99.0,64.38
31,Калужская область,2010,99.8,257.6,39.6,100.9,757.9,15477.0,716.8,27135.0,12.0,134.0,92.0,68.1
32,Калужская область,2015,83.8,256.7,38.5,100.8,712.4,27434.0,600.4,28634.0,26.0,148.0,86.0,70.73
33,Калужская область,2019,73.0,279.7,42.6,97.6,788.4,31417.0,557.2,24032.0,27.0,44.0,71.0,72.35
34,Калужская область,2020,84.0,299.8,43.1,100.0,844.5,32559.0,642.8,23046.0,26.0,44.0,72.0,70.38
35,Калужская область,2021,76.7,316.4,44.3,96.3,1022.8,35028.0,698.1,22082.0,30.0,50.0,72.0,69.16
36,Костромская область,2005,158.0,214.9,36.7,122.6,682.6,4985.0,1062.1,21857.0,52.0,173.0,64.0,62.59
37,Костромская область,2010,96.6,234.2,34.6,116.4,798.9,13315.0,750.7,21857.0,54.0,45.0,47.0,67.5
38,Костромская область,2015,95.3,269.1,36.0,115.0,768.9,21939.0,592.4,21857.0,46.0,18.0,36.0,70.38
39,Костромская область,2019,94.3,283.8,38.1,114.1,739.3,25318.0,512.7,21857.0,44.0,21.0,35.0,72.35
40,Костромская область,2020,96.3,289.4,36.9,112.3,703.9,25786.0,581.4,21857.0,45.0,26.0,37.0,70.92
41,Костромская область,2021,93.7,292.5,37.3,109.7,812.5,28560.0,720.9,21857.0,41.0,29.0,39.0,68.78
42,Курская область,2005,114.2,226.9,50.0,115.7,635.8,5218.0,877.2,21857.0,27.0,26.0,34.0,65.01
43,Курская область,2010,94.0,241.4,58.0,119.2,577.6,14685.0,680.2,21857.0,41.0,40.0,37.0,68.53
44,Курская область,2015,85.4,252.1,49.0,118.3,542.6,25330.0,614.7,21857.0,31.0,37.0,11.0,70.8
45,Курская область,2019,84.9,273.3,51.3,112.3,533.9,29149.0,535.4,21857.0,58.0,28.0,11.0,72.27
46,Курская область,2020,86.7,272.5,52.7,111.3,497.8,29791.0,635.1,21857.0,53.0,31.0,11.0,70.52
47,Курская область,2021,88.1,275.8,52.8,110.1,565.0,32715.0,708.0,21857.0,56.0,43.0,8.0,68.56
