Регион,Год,Число больничных коек,Мощность амбулаторно-поликлинических организаций,Численность врачей всех специальностей,Численность среднего медицинского персонала,Заболеваемость на 1000 человек населения,Среднедушевые денежные доходы населения,Смертность населения в трудоспособном возрасте,Число предприятий и организаций,Выбросы загрязняющих веществ в атмосферный воздух,Улавливание загрязняющих атмосферу веществ,Сброс загрязненных сточных вод в поверхностные водные объекты,Средняя продолжительность жизни,ФО
Алтайский край,2005,117.7,281.1,46.7,109.9,987.2,4640.0,853.7,21857.0,233.0,787.0,34.0,64.62,siberian
Алтайский край,2010,112.1,347.8,48.7,109.2,1035.7,11029.0,668.0,21857.0,207.0,776.0,15.0,68.36,siberian
Алтайский край,2011,108.1,285.5,50.4,111.9,1052.4,12500.0,646.4,56770.0,204.0,712.0,12.0,68.97,siberian
Алтайский край,2012,105.0,292.6,46.0,109.7,1087.5,13617.0,637.2,53684.0,216.0,822.0,8.0,69.11,siberian
Алтайский край,2013,103.6,294.3,45.7,109.4,1090.3,15896.0,623.1,55454.0,201.0,558.0,8.0,69.77,siberian
Алтайский край,2014,100.8,298.8,44.9,110.3,1082.3,18291.0,611.8,55916.0,203.0,548.0,11.0,70.01,siberian
Алтайский край,2015,97.6,300.5,42.9,112.7,1096.5,20860.0,597.5,21857.0,204.0,549.0,16.0,70.44,siberian
Алтайский край,2016,96.9,305.5,43.1,111.6,1130.3,21256.0,583.8,56374.0,213.0,576.0,18.0,70.74,siberian
Алтайский край,2017,94.7,302.5,43.3,109.7,1088.1,22139.0,562.2,53486.0,204.0,614.0,17.0,71.1,siberian
Алтайский край,2018,92.0,304.8,42.7,105.3,1089.2,22829.0,577.5,50228.0,192.0,599.0,17.0,71.11,siberian
Алтайский край,2019,91.8,309.0,42.6,104.6,1090.0,23993.0,556.8,21857.0,169.0,521.0,32.0,71.61,siberian
Алтайский край,2020,90.9,307.7,43.4,102.6,987.5,23917.0,613.9,21857.0,175.0,520.0,13.0,70.19,siberian
Алтайский край,2021,90.4,316.1,43.0,99.2,1152.5,26010.0,688.3,21857.0,177.0,534.0,14.0,68.6,siberian
Амурская область,2005,144.2,282.5,60.7,124.7,658.1,5988.0,1136.1,21857.0,104.0,229.0,100.0,60.22,far_eastern
Амурская область,2010,114.7,280.2,62.8,125.5,777.7,14323.0,891.6,21857.0,119.0,284.0,82.0,64.36,far_eastern
Амурская область,2011,126.9,305.3,65.6,134.1,794.0,17790.0,873.7,14892.0,134.0,322.0,79.0,64.82,far_eastern
Амурская область,2012,112.0,318.2,60.4,134.6,827.5,21800.0,828.6,15121.0,127.0,321.0,78.0,65.12,far_eastern
Амурская область,2013,117.1,315.5,60.6,143.5,812.5,23036.0,794.6,15723.0,125.0,320.0,77.0,66.38,far_eastern
Амурская область,2014,109.3,293.2,58.8,118.5,809.8,25385.0,752.3,16182.0,132.0,330.0,45.0,67.0,far_eastern
Амурская область,2015,102.4,315.7,55.4,116.1,839.2,28240.0,753.5,21857.0,127.0,350.0,73.0,67.27,far_eastern
Амурская область,2016,90.8,282.9,54.2,113.3,836.2,27976.0,715.7,16715.0,135.0,385.0,74.0,68.28,far_eastern
Амурская область,2017,95.5,289.3,55.7,117.5,848.8,29213.0,630.9,15753.0,133.0,331.0,67.0,69.06,far_eastern
Амурская область,2018,95.7,285.9,55.0,109.1,852.9,30937.0,654.6,15418.0,113.0,359.0,67.0,69.11,far_eastern
Амурская область,2019,95.4,296.4,54.9,106.3,846.8,33304.0,681.7,21857.0,124.0,349.0,65.0,68.66,far_eastern
Амурская область,2020,95.0,298.5,55.4,107.7,807.1,35508.0,770.2,21857.0,136.0,331.0,66.0,67.38,far_eastern
Амурская область,2021,98.2,427.2,56.8,109.0,927.1,39626.0,807.7,21857.0,150.0,380.0,67.0,66.3,far_eastern
Архангельская область,2011,101.9,346.7,56.6,136.7,1061.1,21455.0,714.0,26121.0,373.0,656.0,375.0,68.75,north_western
Архангельская область,2012,107.6,367.2,54.8,139.2,1067.3,23142.0,656.4,26068.0,271.0,648.0,364.0,69.65,north_western
Архангельская область,2013,106.0,376.1,54.5,138.9,1028.9,25343.0,627.2,26752.0,245.0,570.0,341.0,70.16,north_western
Архангельская область,2014,103.8,377.4,55.8,138.1,1007.5,28111.0,633.6,25758.0,262.0,452.0,336.0,70.23,north_western
Архангельская область,2016,93.5,382.4,53.9,134.8,1016.4,31394.0,635.1,24291.0,245.0,436.0,329.0,70.82,north_western
Архангельская область,2017,91.2,389.6,55.0,132.7,1012.3,32310.0,568.4,23153.0,251.0,417.0,325.0,71.94,north_western
Архангельская область,2018,88.3,395.0,56.0,130.8,1018.8,33830.0,569.3,22117.0,204.0,416.0,323.0,72.1,north_western
Архангельская область без автономного округа,2005,122.4,342.6,53.7,142.9,903.0,25860.23717948718,653.9928240740742,23797.0,259.0,549.6728888888889,464.0,69.34333333333335,north_western
Архангельская область без автономного округа,2010,101.9,358.5,57.0,139.6,1021.4,25860.23717948718,653.9928240740742,25344.0,263.0,549.6728888888889,415.0,69.34333333333335,north_western
Архангельская область без автономного округа,2011,101.2,349.9,56.9,137.4,1036.3,22884.0,592.2,24992.0,215.0,107.5,82.0,68.84,north_western
Архангельская область без автономного округа,2012,107.1,370.9,55.0,140.1,1042.3,22884.0,592.2,24959.0,201.0,107.5,82.0,69.71,north_western
Архангельская область без автономного округа,2013,105.5,380.0,54.7,139.7,1008.6,23799.0,592.2,25614.0,173.0,107.5,82.0,70.27,north_western
Архангельская область без автономного округа,2014,103.2,381.1,56.1,138.5,991.3,26643.0,592.2,24631.0,176.0,107.5,82.0,70.2,north_western
